station_id,station_name,municipality,latitude,longitude,wheelchair_accessible,location_type,vehicle_type
node-davis-341stair-lobby,Davis,Somerville,,,True,3,
769,Centre St opp Glenhaven Rd,Boston,42.270185,-71.161904,True,0,3.0
node-143-lobby,Back Bay,Boston,,,True,3,
5904,Lexington St @ Brooks St,Boston,42.378584,-71.03501,True,0,3.0
966,Cambridge St @ N Beacon St,Boston,42.353442,-71.137948,True,0,3.0
node-sstat-ashbrain-fareunpaid,South Station,Boston,,,True,3,
21916,Grove St @ Bellingham St,Brookline,42.304222,-71.150105,True,0,3.0
node-377-lobby,Chinatown,Boston,,,True,3,
578,River St @ Newcroft Circle,Boston,42.271152,-71.084455,True,0,3.0
2934,Columbia Rd @ Annabel St,Boston,42.318702,-71.063102,True,0,3.0
1501,Dudley St @ Uphams Corner Station,Boston,42.31871,-71.069253,True,0,3.0
1530,Cypress St opp Henry St,Brookline,42.325425,-71.1219,True,0,3.0
9070115,Chiswick Road - Commonwealth Ave @ Chiswick Rd,Boston,42.3402,-71.15175,True,0,3.0
door-sstat-outmain,"Summer St, Atlantic Ave, Commuter Rail",Boston,42.352363,-71.055071,False,2,
node-spmnl-obrienstairs-top,Science Park/West End,Boston,42.36671,-71.067941,True,3,
56434,Cummins Hwy @ Rugby Rd,Boston,42.270847,-71.103265,False,0,3.0
25203,Old Colony Ave opp Gavin Way,Boston,42.326724,-71.052197,True,0,3.0
NB-0076-B,Highland,Boston,42.285035,-71.154282,True,0,3.0
786,Belgrade Ave @ Centre St,Boston,42.287009,-71.150087,True,0,3.0
node-jaksn-fareunpaid,Jackson Square,Boston,,,True,3,
833,Baker St @ Lasell St,Boston,42.285986,-71.170648,True,0,3.0
