Park_Name,Play_Name,Neighbor,OS_ID,Asset,asset_deta,Asset_use1,Asset_use2,Asset_use3,Age,shape_wkt,POINT_X,POINT_Y,source_file,cleaned_date
Hobart Park,,Allston-Brighton,154.0,Basketball,Full,,,,,POINT (-71.161315277999961 42.355674041000043),-71.16131527799996,42.35567404100004,park_features.csv,2025-11-30 19:58:11
Portsmouth Street Playground,,Allston-Brighton,243.0,Basketball,Full,,,,,POINT (-71.144714389999933 42.359139423000045),-71.14471438999993,42.359139423000045,park_features.csv,2025-11-30 19:58:11
Porzio Park,,East Boston,244.0,Basketball,Full,,,,,POINT (-71.029248036999945 42.363894407000032),-71.02924803699995,42.36389440700003,park_features.csv,2025-11-30 19:58:11
Polcari Park,,Central Boston,240.0,Basketball,Full,,,,,POINT (-71.054549632999965 42.36493983500003),-71.05454963299997,42.36493983500003,park_features.csv,2025-11-30 19:58:11
DeFilippo Playground,,Central Boston,81.0,Basketball,Full,,,,,POINT (-71.05704607499996 42.366528196000047),-71.05704607499996,42.36652819600005,park_features.csv,2025-11-30 19:58:11
Mirabella Pool,,Central Boston,2137.0,Basketball,Full,,,,,POINT (-71.054818564999948 42.368873403000066),-71.05481856499995,42.368873403000066,park_features.csv,2025-11-30 19:58:11
LoPresti Park,,East Boston,182.0,Basketball,Full,,,,,POINT (-71.043063859999961 42.369648251000058),-71.04306385999996,42.36964825100006,park_features.csv,2025-11-30 19:58:11
LoPresti Park,,East Boston,182.0,Basketball,Full,,,,,POINT (-71.042867678999983 42.36989219000003),-71.04286767899998,42.36989219000003,park_features.csv,2025-11-30 19:58:11
Paris Street Playground,,East Boston,226.0,Basketball,Full,,,,,POINT (-71.036992374999954 42.372187985000039),-71.03699237499995,42.37218798500004,park_features.csv,2025-11-30 19:58:11
Leo F. McCarthy Playground,,Charlestown,101.0,Basketball,Full,,,,,POINT (-71.068448812999975 42.37969332800003),-71.06844881299997,42.37969332800003,park_features.csv,2025-11-30 19:58:11
Doherty Playground,,Charlestown,87.0,Basketball,Full,,,,,POINT (-71.067786173999934 42.382031891000054),-71.06778617399993,42.382031891000054,park_features.csv,2025-11-30 19:58:11
Doherty Playground,,Charlestown,87.0,Basketball,Full,,,,,POINT (-71.068001641999956 42.382103658000062),-71.06800164199996,42.38210365800006,park_features.csv,2025-11-30 19:58:11
American Legion Playground,,East Boston,9.0,Basketball,Full,,,,,POINT (-71.029299476999938 42.382380531000081),-71.02929947699994,42.38238053100008,park_features.csv,2025-11-30 19:58:11
American Legion Playground,,East Boston,9.0,Basketball,Full,,,,,POINT (-71.029085395999971 42.382381059000068),-71.02908539599997,42.38238105900006,park_features.csv,2025-11-30 19:58:11
McLean Playground,,East Boston,195.0,Basketball,Full,,,,,POINT (-71.019367803999955 42.382704657000033),-71.01936780399996,42.38270465700003,park_features.csv,2025-11-30 19:58:11
Amatucci Playground,,Hyde Park,7.0,Basketball,Half,,,,,POINT (-71.126614984999947 42.248714014000029),-71.12661498499995,42.24871401400003,park_features.csv,2025-11-30 19:58:11
Ronan Park,,Dorchester,268.0,Basketball,Half,,,,,POINT (-71.062783449999984 42.305014612000036),-71.06278344999998,42.30501461200003,park_features.csv,2025-11-30 19:58:11
Ronan Park,,Dorchester,268.0,Basketball,Half,,,,,POINT (-71.062595916999953 42.305067521000069),-71.06259591699995,42.30506752100007,park_features.csv,2025-11-30 19:58:11
Downer Avenue Playground,,Dorchester,92.0,Basketball,Half,,,,,POINT (-71.061932560999935 42.311695593000024),-71.06193256099994,42.311695593000024,park_features.csv,2025-11-30 19:58:11
Mt. Pleasant Play Area,,Roxbury,208.0,Basketball,Half,,,,UA,POINT (-71.079081470999938 42.327011982000045),-71.07908147099994,42.327011982000045,park_features.csv,2025-11-30 19:58:11
Ringgold Park,,South End,260.0,Basketball,Half,,,,UA,POINT (-71.070321683999964 42.343180264000068),-71.07032168399996,42.34318026400006,park_features.csv,2025-11-30 19:58:11
LoPresti Park,,East Boston,182.0,Basketball,Half,,,,,POINT (-71.043018147999987 42.370129396000038),-71.04301814799999,42.37012939600004,park_features.csv,2025-11-30 19:58:11
