SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,STArea__,STLength__,Shape_Length,Shape_Area,shape_wkt
O'Donnell Square,City of Boston,A97,1,Dorchester,0.060980810000000, ,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,220,PARK_Maintenance_Region 2,220,YES,02122,1602395000,0,,,0.001149694877383,0.000000026940011,
Grove Street Cemetery,Private, ,4,West Roxbury,25.379867350000001, ,Open Space District,Cemeteries & Burying Grounds,Private,NULL,N,,,,,INFO_Reallocation From Dept,7191,NO,02132,,0,,,0.024811446027544,0.000011206820367,
King's Chapel Burying Ground,City of Boston,A97/NRHP,4,Central Boston,0.431738130000000,40 Tremont Street,Commercial/Office/Business District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X,,BPRD,171,PARK_Cemetery Maintenance Request,171,YES,02108,0302858000,1630,,,0.001795175685522,0.000000190934857,"MULTIPOLYGON (((-71.059655374999977 42.358083848000035, -71.059486783999944 42.358318197000074, -71.059919247999972 42.358526925000035, -71.060188958999959 42.35817507400003, -71.059695056999942 42.358028813000033, -71.059655374999977 42.358083848000035)))"
Blue Hill Club Recreation Center,City of Boston,A97,3,Dorchester,3.041821920000000,15 Talbot Street,Open Space District,"Parks, Playgrounds & Athletic Fields",White Fund,Private,X,X,Berkshire Partners Blue Hill Club (Boys & Girls Club),Trust Office,,INFO_Reallocation From Dept,2130,YES,02124,,0,,,0.005075545454152,0.000001343889782,"MULTIPOLYGON (((-71.085642216999986 42.29409081700004, -71.087389121999934 42.294620838000071, -71.087646717999974 42.293896175000043, -71.085998712999981 42.293414978000044, -71.085642216999986 42.29409081700004)))"
Columbia Road/Day Boulevard,Commonwealth of Massachusetts,A97,2,South Boston,16.849582760000001, ,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,,DCR,,INFO_Reallocation From Dept,3108,YES,"02125, 02127",,0,,,0.154080747095849,0.000007448235504,
Columbia Park,City of Boston,A97,3,South Boston,0.339311460000000,"Farragut Road, Columbia Road, Sixth Street, Lennon Street",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Whitey McGrail Memorial,BPRD,332,PARK_Maintenance_Region 6,332,YES,02127,ROW,0,,,0.001896690986759,0.000000150000805,
Bellevue Street Green,City of Boston, ,1,West Roxbury,0.117714430000000,Bellevue St btwn Robin St and Bellevue Hill Rd,Residential District,"Malls, Squares & Plazas",PWD,PWD,N,X,,PWD,,INFO_Reallocation From Dept,2135,NO,02132,,0,,,0.001082472676279,0.000000051992558,
Walnut Park,City of Boston,A97,1,Roxbury,0.060100470000000, ,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,347,PARK_Maintenance_Region 5,347,YES,02119,ROW,0,,,0.000971353419390,0.000000026561423,
Mirabella Pool,City of Boston,A97/Ch91/WPA,3,Central Boston,1.362032850000000,475 Commercial Street,Open Space District,"Parks, Playgrounds & Athletic Fields",White Fund,BCYF,X,L,North End Beach,BCYF,,INFO_Reallocation From Dept,2137,YES,02109,,0,,,0.003743593744074,0.000000602452315,
Theresa Hynes Park Access Easement,Private,A97/CR,3,Allston-Brighton,0.020907630000000,99 Chestnut Hill Avenue,Residential District,"Parks, Playgrounds & Athletic Fields",BCC,Private,X,X,,BCC,,INFO_Reallocation From Dept,1032,YES,02135,,0,,,0.001092149268697,0.000000009244265,"MULTIPOLYGON (((-71.153823658999954 42.344774130000076, -71.153876064999963 42.34473365100007, -71.154079131999936 42.344362128000057, -71.154095103999964 42.344329604000052, -71.154080097999952 42.344326938000052, -71.153859021999949 42.344725072000074, -71.153800907999937 42.344767534000027, -71.153823658999954 42.344774130000076)))"
Union Park,City of Boston,A97,3,South End,0.368411330000000,24P Union Park,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,351,PARK_Maintenance_Region 6,351,YES,02118,0306923000,0,,,0.002308756080402,0.000000162889788,
Blake Estates Urban Wild II,Private,A97/CR/WPA,6,Hyde Park,0.353565270000000,1344 Hyde Park Avenue,Residential District,Urban Wilds,BCC,Private,X,N,"Allis Chalmers UW, Area 2",BCC,,INFO_Reallocation From Dept,1033,YES,02136,,0,,,0.004274620163926,0.000000156103676,
