Park_Name,Play_Name,Neighbor,OS_ID,Asset,asset_deta,Asset_use1,Asset_use2,Asset_use3,Age,shape_wkt,POINT_X,POINT_Y
Doherty Playground,N/A,Charlestown,87,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.068001641999956 42.382103658000062),-71.068001641999956,42.382103658000062
American Legion Playground,N/A,East Boston,9,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.029299476999938 42.382380531000081),-71.029299476999938,42.382380531000081
American Legion Playground,N/A,East Boston,9,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.029085395999971 42.382381059000068),-71.029085395999971,42.382381059000068
McLean Playground,N/A,East Boston,195,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.019367803999955 42.382704657000033),-71.019367803999955,42.382704657000033
Amatucci Playground,N/A,Hyde Park,7,Basketball,Half,N/A,N/A,N/A,N/A,POINT (-71.126614984999947 42.248714014000029),-71.126614984999947,42.248714014000029
Ronan Park,N/A,Dorchester,268,Basketball,Half,N/A,N/A,N/A,N/A,POINT (-71.062783449999984 42.305014612000036),-71.062783449999984,42.305014612000036
Ronan Park,N/A,Dorchester,268,Basketball,Half,N/A,N/A,N/A,N/A,POINT (-71.062595916999953 42.305067521000069),-71.062595916999953,42.305067521000069
Downer Avenue Playground,N/A,Dorchester,92,Basketball,Half,N/A,N/A,N/A,N/A,POINT (-71.061932560999935 42.311695593000024),-71.061932560999935,42.311695593000024
Mt. Pleasant Play Area,N/A,Roxbury,208,Basketball,Half,N/A,N/A,N/A,UA,POINT (-71.079081470999938 42.327011982000045),-71.079081470999938,42.327011982000045
Ringgold Park,N/A,South End,260,Basketball,Half,N/A,N/A,N/A,UA,POINT (-71.070321683999964 42.343180264000068),-71.070321683999964,42.343180264000068
LoPresti Park,N/A,East Boston,182,Basketball,Half,N/A,N/A,N/A,N/A,POINT (-71.043018147999987 42.370129396000038),-71.043018147999987,42.370129396000038
Peter Looney Park,N/A,Charlestown,235,Basketball,Half,N/A,N/A,N/A,N/A,POINT (-71.065427869999951 42.374261467000053),-71.065427869999951,42.374261467000053
Children's Park,N/A,Dorchester,55,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.078252582999937 42.310612954000078),-71.078252582999937,42.310612954000078
Ronan Park,N/A,Dorchester,268,Dog Park,UA,N/A,N/A,N/A,N/A,POINT (-71.062048576999985 42.305013087000077),-71.062048576999985,42.305013087000077
DeFilippo Playground,N/A,Central Boston,81,Dog Park,UA,N/A,N/A,N/A,N/A,POINT (-71.056692389999967 42.366754248000063),-71.056692389999967,42.366754248000063
Boston Common,N/A,Back Bay/Beacon Hill,27,Dog Park,UA,N/A,N/A,N/A,N/A,POINT (-71.067272937999974 42.355771035000032),-71.067272937999974,42.355771035000032
Garvey Playground,N/A,Dorchester,130,Dog Park,UA,N/A,N/A,N/A,N/A,POINT (-71.044383849999974 42.28748094000008),-71.044383849999974,42.287480940000080
Downer Avenue Playground,N/A,Dorchester,92,Dog Park,UA,N/A,N/A,N/A,N/A,POINT (-71.062082276999945 42.311840235000034),-71.062082276999945,42.311840235000034
Roberts Playground,N/A,Dorchester,265,Futsal,N/A,N/A,N/A,N/A,N/A,POINT (-71.072524359999989 42.285712750000073),-71.072524359999989,42.285712750000073
Harambee Park,N/A,Dorchester,142,Netball,N/A,N/A,N/A,N/A,N/A,POINT (-71.087502649999976 42.293063208000035),-71.087502649999976,42.293063208000035
Madison Park H.S. Athletic Fields,N/A,Roxbury,183,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.086007191999954 42.332483574000037),-71.086007191999954,42.332483574000037
Madison Park H.S. Athletic Fields,N/A,Roxbury,183,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.085821841999973 42.332399826000028),-71.085821841999973,42.332399826000028
Madison Park H.S. Athletic Fields,N/A,Roxbury,183,Basketball,Half,N/A,N/A,N/A,N/A,POINT (-71.085894240999949 42.332674981000025),-71.085894240999949,42.332674981000025
Madison Park H.S. Athletic Fields,N/A,Roxbury,183,Basketball,Half,N/A,N/A,N/A,N/A,POINT (-71.085666079999953 42.33259791100005),-71.085666079999953,42.332597911000050
Ringer Playground,N/A,Allston-Brighton,259,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.137997870999982 42.350756689000036),-71.137997870999982,42.350756689000036
DeFilippo Playground,N/A,Central Boston,81,Playground,UA,N/A,N/A,N/A,2-5,POINT (-71.056787588999953 42.366253972000038),-71.056787588999953,42.366253972000038
Fidelis Way Park,N/A,Allston-Brighton,117,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.14361665499996 42.347888234000038),-71.143616654999960,42.347888234000038
McKinney Playground,N/A,Allston-Brighton,193,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.153525443999968 42.355302985000037),-71.153525443999968,42.355302985000037
Edgerly Road Playground,N/A,Fenway/Longwood,99,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.087942004999945 42.346350074000043),-71.087942004999945,42.346350074000043
Ross Playground,N/A,Hyde Park,270,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.111667438999973 42.263247147000072),-71.111667438999973,42.263247147000072
Amatucci Playground,N/A,Hyde Park,7,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.126227761999985 42.248560242000053),-71.126227761999985,42.248560242000053
Iacono/Readville Playground,N/A,Hyde Park,160,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.135638570999959 42.239089901000057),-71.135638570999959,42.239089901000057
Gibbons Playground,N/A,Mission Hill,133,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.098340610999969 42.331232341000032),-71.098340610999969,42.331232341000032
McLaughlin Playground,N/A,Mission Hill,194,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.103293909999934 42.328941916000076),-71.103293909999934,42.328941916000076
Jefferson Playground,N/A,Jamaica Plain,165,Playground,UA,N/A,N/A,N/A,5-12,POINT (-71.109038102999989 42.326208979000057),-71.109038102999989,42.326208979000057
Mozart Street Playground,N/A,Jamaica Plain,209,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.104506756999967 42.322535176000031),-71.104506756999967,42.322535176000031
Brewer-Burroughs Tot Lot,N/A,Jamaica Plain,31,Playground,UA,N/A,N/A,N/A,2-5,POINT (-71.115539364999961 42.311708055000054),-71.115539364999961,42.311708055000054
Harambee Park,Harambee Park (Talbot Street),Dorchester,142,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.08302972499996 42.293122385000061),-71.083029724999960,42.293122385000061
Thetford/Evans Playground,N/A,Dorchester,302,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.077720872999976 42.283126417000062),-71.077720872999976,42.283126417000062
Walker Playground,N/A,Mattapan,310,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.090571225999952 42.277824599000041),-71.090571225999952,42.277824599000041
